Country,Lat,Long,Date,Value
Afghanistan,33,65,04-05-2020,2894
Afghanistan,33,65,03-05-2020,2704
Afghanistan,33,65,02-05-2020,2469
Afghanistan,33,65,01-05-2020,2335
Afghanistan,33,65,30-04-2020,2171
Afghanistan,33,65,29-04-2020,1939
Afghanistan,33,65,28-04-2020,1828
Afghanistan,33,65,27-04-2020,1703
Afghanistan,33,65,26-04-2020,1531
Afghanistan,33,65,25-04-2020,1463
Afghanistan,33,65,24-04-2020,1351
Afghanistan,33,65,23-04-2020,1279
Afghanistan,33,65,22-04-2020,1176
Afghanistan,33,65,21-04-2020,1092
Afghanistan,33,65,20-04-2020,1026
Afghanistan,33,65,19-04-2020,996
Afghanistan,33,65,18-04-2020,933
Afghanistan,33,65,17-04-2020,906
Afghanistan,33,65,16-04-2020,840
Afghanistan,33,65,15-04-2020,784
Afghanistan,33,65,14-04-2020,714
Afghanistan,33,65,13-04-2020,665
Afghanistan,33,65,12-04-2020,607
Afghanistan,33,65,11-04-2020,555
Afghanistan,33,65,10-04-2020,521
Afghanistan,33,65,09-04-2020,484
Afghanistan,33,65,08-04-2020,444
Afghanistan,33,65,07-04-2020,423
Afghanistan,33,65,06-04-2020,367
Afghanistan,33,65,05-04-2020,349
Afghanistan,33,65,04-04-2020,299
Afghanistan,33,65,03-04-2020,281
Afghanistan,33,65,02-04-2020,273
Afghanistan,33,65,01-04-2020,237
Afghanistan,33,65,31-03-2020,174
Afghanistan,33,65,30-03-2020,170
Afghanistan,33,65,29-03-2020,120
Afghanistan,33,65,28-03-2020,110
Afghanistan,33,65,27-03-2020,110
Afghanistan,33,65,26-03-2020,94
Afghanistan,33,65,25-03-2020,84
Afghanistan,33,65,24-03-2020,74
Afghanistan,33,65,23-03-2020,40
Afghanistan,33,65,22-03-2020,40
Afghanistan,33,65,21-03-2020,24
Afghanistan,33,65,20-03-2020,24
Afghanistan,33,65,19-03-2020,22
Afghanistan,33,65,18-03-2020,22
Afghanistan,33,65,17-03-2020,22
Afghanistan,33,65,16-03-2020,21
Afghanistan,33,65,15-03-2020,16
Afghanistan,33,65,14-03-2020,11
Afghanistan,33,65,13-03-2020,7
Afghanistan,33,65,12-03-2020,7
Afghanistan,33,65,11-03-2020,7
Afghanistan,33,65,10-03-2020,5
Afghanistan,33,65,09-03-2020,4
Afghanistan,33,65,08-03-2020,4
Afghanistan,33,65,07-03-2020,1
Afghanistan,33,65,06-03-2020,1
Afghanistan,33,65,05-03-2020,1
Afghanistan,33,65,04-03-2020,1
Afghanistan,33,65,03-03-2020,1
Afghanistan,33,65,02-03-2020,1
