Country/Region,Lat,Long,Date,Value
Afghanistan,33,65,04-05-2020,90
Afghanistan,33,65,03-05-2020,85
Afghanistan,33,65,02-05-2020,72
Afghanistan,33,65,01-05-2020,68
Afghanistan,33,65,30-04-2020,64
Afghanistan,33,65,29-04-2020,60
Afghanistan,33,65,28-04-2020,58
Afghanistan,33,65,27-04-2020,57
Afghanistan,33,65,26-04-2020,50
Afghanistan,33,65,25-04-2020,47
Afghanistan,33,65,24-04-2020,43
Afghanistan,33,65,23-04-2020,42
Afghanistan,33,65,22-04-2020,40
Afghanistan,33,65,21-04-2020,36
Afghanistan,33,65,20-04-2020,36
Afghanistan,33,65,19-04-2020,33
Afghanistan,33,65,18-04-2020,30
Afghanistan,33,65,17-04-2020,30
Afghanistan,33,65,16-04-2020,30
Afghanistan,33,65,15-04-2020,25
Afghanistan,33,65,14-04-2020,23
Afghanistan,33,65,13-04-2020,21
Afghanistan,33,65,12-04-2020,18
Afghanistan,33,65,11-04-2020,18
Afghanistan,33,65,10-04-2020,15
Afghanistan,33,65,09-04-2020,15
Afghanistan,33,65,08-04-2020,14
Afghanistan,33,65,07-04-2020,14
Afghanistan,33,65,06-04-2020,11
Afghanistan,33,65,05-04-2020,7
Afghanistan,33,65,04-04-2020,7
Afghanistan,33,65,03-04-2020,6
Afghanistan,33,65,02-04-2020,6
Afghanistan,33,65,01-04-2020,4
Afghanistan,33,65,31-03-2020,4
Afghanistan,33,65,30-03-2020,4
Afghanistan,33,65,29-03-2020,4
Afghanistan,33,65,28-03-2020,4
Afghanistan,33,65,27-03-2020,4
Afghanistan,33,65,26-03-2020,4
Afghanistan,33,65,25-03-2020,2
Afghanistan,33,65,24-03-2020,1
Afghanistan,33,65,23-03-2020,1
Afghanistan,33,65,22-03-2020,1
Afghanistan,33,65,21-03-2020,0
Afghanistan,33,65,20-03-2020,0
Afghanistan,33,65,19-03-2020,0
Afghanistan,33,65,18-03-2020,0
Afghanistan,33,65,17-03-2020,0
Afghanistan,33,65,16-03-2020,0
Afghanistan,33,65,15-03-2020,0
Afghanistan,33,65,14-03-2020,0
Afghanistan,33,65,13-03-2020,0
Afghanistan,33,65,12-03-2020,0
Afghanistan,33,65,11-03-2020,0
Afghanistan,33,65,10-03-2020,0
Afghanistan,33,65,09-03-2020,0
Afghanistan,33,65,08-03-2020,0
Afghanistan,33,65,07-03-2020,0
Afghanistan,33,65,06-03-2020,0
Afghanistan,33,65,05-03-2020,0
Afghanistan,33,65,04-03-2020,0
Afghanistan,33,65,03-03-2020,0
Afghanistan,33,65,02-03-2020,0
Afghanistan,33,65,01-03-2020,0
Afghanistan,33,65,29-02-2020,0
Afghanistan,33,65,28-02-2020,0
Afghanistan,33,65,27-02-2020,0
Afghanistan,33,65,26-02-2020,0
Afghanistan,33,65,25-02-2020,0
Afghanistan,33,65,24-02-2020,0
Afghanistan,33,65,23-02-2020,0
Afghanistan,33,65,22-02-2020,0
Afghanistan,33,65,21-02-2020,0
Afghanistan,33,65,20-02-2020,0
Afghanistan,33,65,19-02-2020,0
Afghanistan,33,65,18-02-2020,0
Afghanistan,33,65,17-02-2020,0
Afghanistan,33,65,16-02-2020,0
Afghanistan,33,65,15-02-2020,0
Afghanistan,33,65,14-02-2020,0
Afghanistan,33,65,13-02-2020,0
Afghanistan,33,65,12-02-2020,0
Afghanistan,33,65,11-02-2020,0
Afghanistan,33,65,10-02-2020,0
Afghanistan,33,65,09-02-2020,0
Afghanistan,33,65,08-02-2020,0
Afghanistan,33,65,07-02-2020,0
